observed_at,stage,host,port,protocol,decision,reason
2026-07-26T08:08:46Z,probe,127.0.0.1,19790,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19791,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19792,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19793,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19794,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19795,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19796,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19797,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19798,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19799,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19800,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19801,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19802,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19803,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19804,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19805,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19806,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19807,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19808,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19809,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19810,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19811,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19812,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19813,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19814,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19815,tcp,deny,out of scope
2026-07-26T08:08:46Z,probe,127.0.0.1,19816,tcp,deny,out of scope
